1 0 0 |[0, 0, 0]| pvz-3gate-pressure
18 0 0 |[0, 0, 0]| pvz-3gate-pressure
35 0 0 |[0, 0, 0]| pvz-3gate-pressure
48 0 0 |[0, 0, 0]| pvz-3gate-pressure
57 0 0 |[0, 0, 0]| pvz-3gate-pressure
74 0 0 |[0, 0, 0]| pvz-3gate-pressure
87 0 0 |[0, 0, 0]| pvz-3gate-pressure
98 0 0 |[0, 0, 0]| pvz-3gate-pressure
103 0 0 |[0, 0, 0]| pvz-3gate-pressure
111 0 0 |[0, 0, 0]| pvz-3gate-pressure
124 0 0 |[0, 0, 0]| pvz-3gate-pressure
127 0 0 |[0, 0, 0]| pvz-3gate-pressure
143 0 0 |[0, 0, 0]| pvz-3gate-pressure
153 0 0 |[0, 0, 0]| pvz-3gate-pressure
155 0 0 |[0, 0, 0]| pvz-3gate-pressure
170 0 0 |[0, 0, 0]| pvz-3gate-pressure
175 0 0 |[0, 0, 0]| pvz-3gate-pressure
178 0 0 |[0, 0, 0]| pvz-3gate-pressure
187 0 0 |[0, 0, 0]| pvz-3gate-pressure
198 0 0 |[0, 0, 0]| pvz-3gate-pressure
211 0 0 |[0, 0, 0]| pvz-3gate-pressure
226 0 0 |[0, 0, 0]| pvz-3gate-pressure
235 0 0 |[0, 0, 0]| pvz-3gate-pressure
251 0 0 |[0, 0, 0]| pvz-3gate-pressure
256 0 0 |[0, 0, 0]| pvz-3gate-pressure
256 0 0 |[0, 0, 0]| pvz-3gate-pressure
261 0 0 |[0, 0, 0]| pvz-3gate-pressure
277 0 0 |[0, 0, 0]| pvz-3gate-pressure
278 0 0 |[0, 0, 0]| pvz-3gate-pressure
288 0 0 |[0, 0, 0]| pvz-3gate-pressure
289 0 0 |[0, 0, 0]| pvz-3gate-pressure
300 0 0 |[0, 0, 0]| pvz-3gate-pressure
303 0 0 |[0, 0, 0]| pvz-3gate-pressure
312 0 0 |[0, 0, 0]| pvz-3gate-pressure
320 0 0 |[0, 0, 0]| pvz-3gate-pressure
331 0 0 |[0, 0, 0]| pvz-3gate-pressure
333 0 0 |[0, 0, 0]| pvz-3gate-pressure
335 0 0 |[0, 0, 0]| pvz-3gate-pressure
343 0 0 |[0, 0, 0]| pvz-3gate-pressure
344 0 0 |[0, 0, 0]| pvz-3gate-pressure
347 0 0 |[0, 0, 0]| pvz-3gate-pressure
360 0 0 |[0, 0, 0]| pvz-3gate-pressure
364 0 0 |[0, 0, 0]| pvz-3gate-pressure
367 0 0 |[0, 0, 0]| pvz-3gate-pressure
368 0 0 |[0, 0, 0]| pvz-3gate-pressure
370 0 0 |[0, 0, 0]| pvz-3gate-pressure
376 0 0 |[0, 0, 0]| pvz-3gate-pressure
381 0 0 |[0, 0, 0]| pvz-3gate-pressure
382 0 0 |[0, 0, 0]| pvz-3gate-pressure
388 0 0 |[0, 0, 0]| pvz-3gate-pressure
393 0 0 |[0, 0, 0]| pvz-3gate-pressure
399 0 0 |[0, 0, 0]| pvz-3gate-pressure
402 0 0 |[0, 0, 0]| pvz-3gate-pressure
405 0 0 |[0, 0, 0]| pvz-3gate-pressure
407 0 0 |[0, 0, 0]| pvz-3gate-pressure
419 0 0 |[0, 0, 0]| pvz-3gate-pressure
427 0 0 |[0, 0, 0]| pvz-3gate-pressure
427 0 0 |[0, 0, 0]| pvz-3gate-pressure
436 0 0 |[0, 0, 0]| pvz-3gate-pressure
436 0 0 |[0, 0, 0]| pvz-3gate-pressure
438 0 0 |[0, 0, 0]| pvz-3gate-pressure
438 0 0 |[0, 0, 0]| pvz-3gate-pressure
443 0 0 |[0, 0, 0]| pvz-3gate-pressure
447 0 0 |[0, 0, 0]| pvz-3gate-pressure
452 0 0 |[0, 0, 0]| pvz-3gate-pressure
453 0 0 |[0, 0, 0]| pvz-3gate-pressure
459 0 0 |[0, 0, 0]| pvz-3gate-pressure
468 0 0 |[0, 0, 0]| pvz-3gate-pressure
469 0 0 |[0, 0, 0]| pvz-3gate-pressure
470 0 0 |[0, 0, 0]| pvz-3gate-pressure
473 0 0 |[0, 0, 0]| pvz-3gate-pressure
480 0 0 |[0, 0, 0]| pvz-3gate-pressure
480 0 0 |[0, 0, 0]| pvz-3gate-pressure
488 0 0 |[0, 0, 0]| pvz-3gate-pressure
493 0 0 |[0, 0, 0]| pvz-3gate-pressure
501 0 0 |[0, 0, 0]| pvz-3gate-pressure
510 0 0 |[0, 0, 0]| pvz-3gate-pressure
522 0 0 |[0, 0, 0]| pvz-3gate-pressure
527 0 0 |[0, 0, 0]| pvz-3gate-pressure
531 0 0 |[0, 0, 0]| pvz-3gate-pressure
538 0 0 |[0, 0, 0]| pvz-3gate-pressure
